;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh);ukey
0;0;2016-01-02;TGEgasDA;72.07;64848.00;2016-01-02/TGEgasDA
1;1;2016-01-03;TGEgasDA;70.97;111120.00;2016-01-03/TGEgasDA
2;2;2016-01-04;TGEgasDA;72.21;158400.00;2016-01-04/TGEgasDA
3;3;2016-01-05;TGEgasDA;73.73;216288.00;2016-01-05/TGEgasDA
4;4;2016-01-06;TGEgasDA;74.75;196752.00;2016-01-06/TGEgasDA
5;5;2016-01-07;TGEgasDA;74.85;176688.00;2016-01-07/TGEgasDA
6;6;2016-01-08;TGEgasDA;74.24;155568.00;2016-01-08/TGEgasDA
7;7;2016-01-09;TGEgasDA;73.25;49176.00;2016-01-09/TGEgasDA
8;8;2016-01-10;TGEgasDA;73.95;23688.00;2016-01-10/TGEgasDA
9;9;2016-01-11;TGEgasDA;76.68;89040.00;2016-01-11/TGEgasDA
10;10;2016-01-12;TGEgasDA;76.73;83856.00;2016-01-12/TGEgasDA
11;11;2016-01-13;TGEgasDA;76.32;82464.00;2016-01-13/TGEgasDA
12;12;2016-01-14;TGEgasDA;73.93;89736.00;2016-01-14/TGEgasDA
13;13;2016-01-15;TGEgasDA;72.90;90552.00;2016-01-15/TGEgasDA
14;14;2016-01-16;TGEgasDA;71.17;8328.00;2016-01-16/TGEgasDA
15;15;2016-01-17;TGEgasDA;72.98;18936.00;2016-01-17/TGEgasDA
16;16;2016-01-18;TGEgasDA;73.86;94704.00;2016-01-18/TGEgasDA
17;17;2016-01-19;TGEgasDA;72.22;133272.00;2016-01-19/TGEgasDA
18;18;2016-01-20;TGEgasDA;72.57;116472.00;2016-01-20/TGEgasDA
19;19;2016-01-21;TGEgasDA;68.76;121320.00;2016-01-21/TGEgasDA
20;20;2016-01-22;TGEgasDA;68.54;138792.00;2016-01-22/TGEgasDA
21;21;2016-01-23;TGEgasDA;69.24;33168.00;2016-01-23/TGEgasDA
22;22;2016-01-24;TGEgasDA;69.51;21576.00;2016-01-24/TGEgasDA
23;23;2016-01-25;TGEgasDA;70.54;78288.00;2016-01-25/TGEgasDA
