;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
0;0;2016-01-05;TGEbg;-;-;2016-01-05/TGEbg
1;1;2016-01-05;TGEef;965.72;3162.77;2016-01-05/TGEef
2;2;2016-01-05;TGEkec15;10.78;12693.01;2016-01-05/TGEkec15
3;3;2016-01-05;TGEkec16;-;-;2016-01-05/TGEkec16
4;4;2016-01-05;TGEkgm15;118.51;8536.96;2016-01-05/TGEkgm15
5;5;2016-01-05;TGEkgm16;-;-;2016-01-05/TGEkgm16
6;6;2016-01-05;TGEkmet15;62.20;1979.63;2016-01-05/TGEkmet15
7;7;2016-01-05;TGEkmet16;-;-;2016-01-05/TGEkmet16
8;8;2016-01-05;TGEoze;-;-;2016-01-05/TGEoze
9;9;2016-01-05;TGEozea;110.72;37141.04;2016-01-05/TGEozea
10;10;2016-01-07;TGEbg;-;-;2016-01-07/TGEbg
11;11;2016-01-07;TGEef;971.32;2848.17;2016-01-07/TGEef
12;12;2016-01-07;TGEkec15;10.78;9000.00;2016-01-07/TGEkec15
13;13;2016-01-07;TGEkec16;-;-;2016-01-07/TGEkec16
14;14;2016-01-07;TGEkgm15;118.50;22220.24;2016-01-07/TGEkgm15
15;15;2016-01-07;TGEkgm16;-;-;2016-01-07/TGEkgm16
16;16;2016-01-07;TGEkmet15;62.30;164.04;2016-01-07/TGEkmet15
17;17;2016-01-07;TGEkmet16;-;-;2016-01-07/TGEkmet16
18;18;2016-01-07;TGEoze;-;-;2016-01-07/TGEoze
19;19;2016-01-07;TGEozea;113.83;63269.98;2016-01-07/TGEozea
20;20;2016-01-12;TGEbg;-;-;2016-01-12/TGEbg
21;21;2016-01-12;TGEef;967.97;1943.09;2016-01-12/TGEef
22;22;2016-01-12;TGEkec15;10.83;7595.28;2016-01-12/TGEkec15
23;23;2016-01-12;TGEkec16;-;-;2016-01-12/TGEkec16
24;24;2016-01-12;TGEkgm15;118.50;39327.02;2016-01-12/TGEkgm15
25;25;2016-01-12;TGEkgm16;-;-;2016-01-12/TGEkgm16
26;26;2016-01-12;TGEkmet15;62.30;747.54;2016-01-12/TGEkmet15
27;27;2016-01-12;TGEkmet16;-;-;2016-01-12/TGEkmet16
28;28;2016-01-12;TGEoze;-;-;2016-01-12/TGEoze
29;29;2016-01-12;TGEozea;117.02;52365.74;2016-01-12/TGEozea
30;30;2016-01-14;TGEbg;-;-;2016-01-14/TGEbg
31;31;2016-01-14;TGEef;970.92;7012.79;2016-01-14/TGEef
32;32;2016-01-14;TGEkec15;10.79;67113.00;2016-01-14/TGEkec15
33;33;2016-01-14;TGEkec16;-;-;2016-01-14/TGEkec16
34;34;2016-01-14;TGEkgm15;118.47;26259.63;2016-01-14/TGEkgm15
35;35;2016-01-14;TGEkgm16;-;-;2016-01-14/TGEkgm16
36;36;2016-01-14;TGEkmet15;62.30;2000.00;2016-01-14/TGEkmet15
37;37;2016-01-14;TGEkmet16;-;-;2016-01-14/TGEkmet16
38;38;2016-01-14;TGEoze;-;-;2016-01-14/TGEoze
39;39;2016-01-14;TGEozea;117.27;52132.85;2016-01-14/TGEozea
40;40;2016-01-19;TGEbg;-;-;2016-01-19/TGEbg
41;41;2016-01-19;TGEef;978.41;14646.23;2016-01-19/TGEef
42;42;2016-01-19;TGEkec15;10.78;27000.00;2016-01-19/TGEkec15
43;43;2016-01-19;TGEkec16;-;-;2016-01-19/TGEkec16
44;44;2016-01-19;TGEkgm15;118.49;28970.91;2016-01-19/TGEkgm15
45;45;2016-01-19;TGEkgm16;-;-;2016-01-19/TGEkgm16
46;46;2016-01-19;TGEkmet15;62.30;7136.51;2016-01-19/TGEkmet15
47;47;2016-01-19;TGEkmet16;-;-;2016-01-19/TGEkmet16
48;48;2016-01-19;TGEoze;-;-;2016-01-19/TGEoze
49;49;2016-01-19;TGEozea;116.66;58039.92;2016-01-19/TGEozea
50;50;2016-01-21;TGEbg;-;-;2016-01-21/TGEbg
51;51;2016-01-21;TGEef;979.34;2304.38;2016-01-21/TGEef
