;Unnamed: 0;Unnamed: 0.1;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan;typ instrumentu;data obrotu;instrument;okres;rok dostawy;sezon dostawy;kwartał dostawy;miesiąc dostawy;ukey
0;0;0.0;;70,63;;;;;;;68,25;73;46200.0;275.0;46200.0;275.0;BASE;04.01.2016;BASE_W-02-16;W;16;;;;2016-01-04/BASE_W-02-16
1;1;1.0;;;;;;;;;69,5;74;;;;;BASE;04.01.2016;BASE_W-03-16;W;16;;;;2016-01-04/BASE_W-03-16
2;2;2.0;;;;;;;;;69,5;;;;;;BASE;04.01.2016;BASE_W-04-16;W;16;;;;2016-01-04/BASE_W-04-16
3;3;3.0;;;;;;;;;69;;;;;;BASE;04.01.2016;BASE_W-05-16;W;16;;;;2016-01-04/BASE_W-05-16
4;4;4.0;69;68,75;68,5;69;61944.0;89.0;4263000;12.0;69,1;68,5;9379296.0;13476.0;503208.0;723.0;BASE;04.01.2016;BASE_M-02-16;M;16;;;2.0;2016-01-04/BASE_M-02-16
5;5;5.0;;70,75;;;;;;;;69,5;9575041.0;12887.0;58697.0;79.0;BASE;04.01.2016;BASE_M-03-16;M;16;;;3.0;2016-01-04/BASE_M-03-16
6;6;6.0;69;69;69;69;3600.0;5.0;248400;2.0;69;69;3600.0;5.0;3600.0;5.0;BASE;04.01.2016;BASE_M-04-16;M;16;;;4.0;2016-01-04/BASE_M-04-16
7;7;7.0;;69;;;;;;;69;69,25;9070152.0;4153.0;794976.0;364.0;BASE;04.01.2016;BASE_Q-2-16;Q;16;;2.0;;2016-01-04/BASE_Q-2-16
8;8;8.0;;68,63;;;;;;;68,25;69;8847456.0;4007.0;428352.0;194.0;BASE;04.01.2016;BASE_Q-3-16;Q;16;;3.0;;2016-01-04/BASE_Q-3-16
9;9;9.0;74;74;74;74;11045.0;5.0;817330;1.0;74;74;9361742.0;4238.0;918944.0;416.0;BASE;04.01.2016;BASE_Q-4-16;Q;16;;4.0;;2016-01-04/BASE_Q-4-16
10;10;10.0;;81,7;;;;;;;74,9;76,75;2159.0;1.0;2159.0;1.0;BASE;04.01.2016;BASE_Q-1-17;Q;17;;1.0;;2016-01-04/BASE_Q-1-17
11;11;11.0;;69;;;;;;;68,5;69,5;786168.0;179.0;1620648.0;369.0;BASE;04.01.2016;BASE_S-S-16;S;16;S;;;2016-01-04/BASE_S-S-16
12;12;12.0;75;75;75;75;21840.0;5.0;1638000;1.0;75;75;1188096.0;272.0;1747200.0;400.0;BASE;04.01.2016;BASE_S-W-16;S;16;W;;;2016-01-04/BASE_S-W-16
13;13;13.0;;;;;;;;;;;;;;;BASE;04.01.2016;BASE_S-S-17;S;17;S;;;2016-01-04/BASE_S-S-17
14;14;14.0;74;74,18;74;74,35;61320.0;7.0;4543812;2.0;74,35;74;8470920.0;967.0;9338160.0;1066.0;BASE;04.01.2016;BASE_Y-17;Y;17;;;;2016-01-04/BASE_Y-17
15;15;15.0;;;;;;;;;70;78;;;;;BASE;04.01.2016;BASE_Y-18;Y;18;;;;2016-01-04/BASE_Y-18
16;16;16.0;;73;;;;;;;72,5;73,5;46200.0;275.0;46200.0;275.0;BASE;05.01.2016;BASE_W-02-16;W;16;;;;2016-01-05/BASE_W-02-16
17;17;17.0;;;;;;;;;72,25;73,5;;;;;BASE;05.01.2016;BASE_W-03-16;W;16;;;;2016-01-05/BASE_W-03-16
18;18;18.0;;;;;;;;;72,5;;;;;;BASE;05.01.2016;BASE_W-04-16;W;16;;;;2016-01-05/BASE_W-04-16
19;19;19.0;;;;;;;;;70;;;;;;BASE;05.01.2016;BASE_W-05-16;W;16;;;;2016-01-05/BASE_W-05-16
20;20;20.0;;70,08;;;;;;;69,9;70,25;9379296.0;13476.0;503208.0;723.0;BASE;05.01.2016;BASE_M-02-16;M;16;;;2.0;2016-01-05/BASE_M-02-16
21;21;21.0;69,4;69,83;69,4;70,05;14117.0;19.0;986221,05;6.0;70,05;69,4;9578756.0;12892.0;72814.0;98.0;BASE;05.01.2016;BASE_M-03-16;M;16;;;3.0;2016-01-05/BASE_M-03-16
22;22;22.0;71,4;71,26;71;71,4;39600.0;55.0;2820960;10.0;71,4;69,5;39600.0;55.0;43200.0;60.0;BASE;05.01.2016;BASE_M-04-16;M;16;;;4.0;2016-01-05/BASE_M-04-16
23;23;23.0;70;70,23;70;70,5;69888.0;32.0;4909632;7.0;70,5;70;9140040.0;4185.0;864864.0;396.0;BASE;05.01.2016;BASE_Q-2-16;Q;16;;2.0;;2016-01-05/BASE_Q-2-16
24;24;24.0;69;69;69;69;22080.0;10.0;1523520;2.0;69;69;8869536.0;4017.0;450432.0;204.0;BASE;05.01.2016;BASE_Q-3-16;Q;16;;3.0;;2016-01-05/BASE_Q-3-16
25;25;25.0;74,5;74,63;74,5;74,75;22090.0;10.0;1648466,25;2.0;75;74,5;9372787.0;4243.0;941034.0;426.0;BASE;05.01.2016;BASE_Q-4-16;Q;16;;4.0;;2016-01-05/BASE_Q-4-16
26;26;26.0;;77,62;;;;;;;76;77;2159.0;1.0;2159.0;1.0;BASE;05.01.2016;BASE_Q-1-17;Q;17;;1.0;;2016-01-05/BASE_Q-1-17
27;27;27.0;69,5;69,63;69,5;69,75;43920.0;10.0;3057930;2.0;69,75;69,5;808128.0;184.0;1664568.0;379.0;BASE;05.01.2016;BASE_S-S-16;S;16;S;;;2016-01-05/BASE_S-S-16
28;28;28.0;;75,75;;;;;;;75,5;75,75;1188096.0;272.0;1747200.0;400.0;BASE;05.01.2016;BASE_S-W-16;S;16;W;;;2016-01-05/BASE_S-W-16
29;29;29.0;;;;;;;;;;;;;;;BASE;05.01.2016;BASE_S-S-17;S;17;S;;;2016-01-05/BASE_S-S-17
30;30;30.0;;74,5;;;;;;;74,2;74,8;8470920.0;967.0;9338160.0;1066.0;BASE;05.01.2016;BASE_Y-17;Y;17;;;;2016-01-05/BASE_Y-17
31;31;31.0;;;;;;;;;70;77;;;;;BASE;05.01.2016;BASE_Y-18;Y;18;;;;2016-01-05/BASE_Y-18
32;32;32.0;74;74;74;74;33600.0;200.0;2486400;2.0;74;74;79800.0;475.0;79800.0;475.0;BASE;07.01.2016;BASE_W-02-16;W;16;;;;2016-01-07/BASE_W-02-16
33;33;33.0;;;;;;;;;73,75;74,8;;;;;BASE;07.01.2016;BASE_W-03-16;W;16;;;;2016-01-07/BASE_W-03-16
34;34;34.0;;;;;;;;;72;;;;;;BASE;07.01.2016;BASE_W-04-16;W;16;;;;2016-01-07/BASE_W-04-16
35;35;35.0;;;;;;;;;69,5;;;;;;BASE;07.01.2016;BASE_W-05-16;W;16;;;;2016-01-07/BASE_W-05-16
36;36;36.0;71,6;71,65;71,6;71,8;17400.0;25.0;1247232;4.0;71,8;71,25;9389736.0;13491.0;520608.0;748.0;BASE;07.01.2016;BASE_M-02-16;M;16;;;2.0;2016-01-07/BASE_M-02-16
37;37;37.0;;70,75;;;;;;;70;71,5;9578756.0;12892.0;72814.0;98.0;BASE;07.01.2016;BASE_M-03-16;M;16;;;3.0;2016-01-07/BASE_M-03-16
38;38;38.0;71;71;71;71;36000.0;50.0;2556000;4.0;71;71;75600.0;105.0;79200.0;110.0;BASE;07.01.2016;BASE_M-04-16;M;16;;;4.0;2016-01-07/BASE_M-04-16
39;39;39.0;;70,15;;;;;;;70,25;70,25;9140040.0;4185.0;864864.0;396.0;BASE;07.01.2016;BASE_Q-2-16;Q;16;;2.0;;2016-01-07/BASE_Q-2-16
40;40;40.0;;69,25;;;;;;;69,01;69,5;8869536.0;4017.0;450432.0;204.0;BASE;07.01.2016;BASE_Q-3-16;Q;16;;3.0;;2016-01-07/BASE_Q-3-16
41;41;41.0;;74,88;;;;;;;74,8;74,75;9372787.0;4243.0;941034.0;426.0;BASE;07.01.2016;BASE_Q-4-16;Q;16;;4.0;;2016-01-07/BASE_Q-4-16
42;42;42.0;;76,63;;;;;;;76;77,5;2159.0;1.0;2159.0;1.0;BASE;07.01.2016;BASE_Q-1-17;Q;17;;1.0;;2016-01-07/BASE_Q-1-17
43;43;43.0;;69,75;;;;;;;69,5;70;808128.0;184.0;1664568.0;379.0;BASE;07.01.2016;BASE_S-S-16;S;16;S;;;2016-01-07/BASE_S-S-16
44;44;44.0;75,6;75,6;75,6;75,6;43680.0;10.0;3302208;2.0;75,6;75,55;1231776.0;282.0;1790880.0;410.0;BASE;07.01.2016;BASE_S-W-16;S;16;W;;;2016-01-07/BASE_S-W-16
45;45;45.0;;;;;;;;;;;;;;;BASE;07.01.2016;BASE_S-S-17;S;17;S;;;2016-01-07/BASE_S-S-17
46;46;46.0;74,5;74,5;74,5;74,5;8760.0;1.0;652620;1.0;74,5;74,5;8479680.0;968.0;9346920.0;1067.0;BASE;07.01.2016;BASE_Y-17;Y;17;;;;2016-01-07/BASE_Y-17
47;47;47.0;;;;;;;;;70,5;77;;;;;BASE;07.01.2016;BASE_Y-18;Y;18;;;;2016-01-07/BASE_Y-18
48;48;48.0;74;74;74;74;4200.0;25.0;310800;2.0;74;74;82320.0;490.0;84000.0;500.0;BASE;08.01.2016;BASE_W-02-16;W;16;;;;2016-01-08/BASE_W-02-16
49;49;49.0;;;;;;;;;73,5;74,75;;;;;BASE;08.01.2016;BASE_W-03-16;W;16;;;;2016-01-08/BASE_W-03-16
50;50;50.0;;;;;;;;;72,5;;;;;;BASE;08.01.2016;BASE_W-04-16;W;16;;;;2016-01-08/BASE_W-04-16
51;51;51.0;;;;;;;;;70,75;;;;;;BASE;08.01.2016;BASE_W-05-16;W;16;;;;2016-01-08/BASE_W-05-16
52;52;52.0;71;70,95;70,85;71;32712.0;47.0;2320464;7.0;71;70,85;9422448.0;13538.0;553320.0;795.0;BASE;08.01.2016;BASE_M-02-16;M;16;;;2.0;2016-01-08/BASE_M-02-16
53;53;53.0;71,5;71,5;71,5;71,5;1486.0;2.0;106249;1.0;71,5;70,95;9580242.0;12894.0;74300.0;100.0;BASE;08.01.2016;BASE_M-03-16;M;16;;;3.0;2016-01-08/BASE_M-03-16
54;54;54.0;70,5;70,5;70,5;70,5;46800.0;65.0;3299400;3.0;70,5;70,5;122400.0;170.0;126000.0;175.0;BASE;08.01.2016;BASE_M-04-16;M;16;;;4.0;2016-01-08/BASE_M-04-16
55;55;55.0;70;70;70;70;10920.0;5.0;764400;1.0;70;70;9150960.0;4190.0;875784.0;401.0;BASE;08.01.2016;BASE_Q-2-16;Q;16;;2.0;;2016-01-08/BASE_Q-2-16
56;56;56.0;69;69;69;69;11040.0;5.0;761760;1.0;69;69;8880576.0;4022.0;461472.0;209.0;BASE;08.01.2016;BASE_Q-3-16;Q;16;;3.0;;2016-01-08/BASE_Q-3-16
57;57;57.0;74,5;74,5;74,5;74,51;170093.0;77.0;12672149,4;10.0;74,51;74,5;9363951.0;4239.0;1111127.0;503.0;BASE;08.01.2016;BASE_Q-4-16;Q;16;;4.0;;2016-01-08/BASE_Q-4-16
58;58;58.0;77;77;77;77;6477.0;3.0;498729;1.0;77;77;6477.0;3.0;8636.0;4.0;BASE;08.01.2016;BASE_Q-1-17;Q;17;;1.0;;2016-01-08/BASE_Q-1-17
59;59;59.0;69,4;69,4;69,4;69,4;43920.0;10.0;3048048;2.0;69,4;69,35;808128.0;184.0;1708488.0;389.0;BASE;08.01.2016;BASE_S-S-16;S;16;S;;;2016-01-08/BASE_S-S-16
60;60;60.0;75,5;75,5;75,5;75,5;78624.0;18.0;5936112;2.0;75,5;75,4;1231776.0;282.0;1869504.0;428.0;BASE;08.01.2016;BASE_S-W-16;S;16;W;;;2016-01-08/BASE_S-W-16
61;61;61.0;;;;;;;;;;;;;;;BASE;08.01.2016;BASE_S-S-17;S;17;S;;;2016-01-08/BASE_S-S-17
62;62;62.0;74,5;74,5;74,5;74,5;52560.0;6.0;3915720;2.0;74,5;74,5;8532240.0;974.0;9399480.0;1073.0;BASE;08.01.2016;BASE_Y-17;Y;17;;;;2016-01-08/BASE_Y-17
63;63;63.0;;;;;;;;;71;77;;;;;BASE;08.01.2016;BASE_Y-18;Y;18;;;;2016-01-08/BASE_Y-18
64;64;64.0;75;75;75;75;25200.0;150.0;1890000;4.0;75,25;74,5;25200.0;150.0;25200.0;150.0;BASE;11.01.2016;BASE_W-03-16;W;16;;;;2016-01-11/BASE_W-03-16
65;65;65.0;;;;;;;;;72;74,5;;;;;BASE;11.01.2016;BASE_W-04-16;W;16;;;;2016-01-11/BASE_W-04-16
66;66;66.0;;;;;;;;;70;;;;;;BASE;11.01.2016;BASE_W-05-16;W;16;;;;2016-01-11/BASE_W-05-16
67;67;67.0;;;;;;;;;70;;;;;;BASE;11.01.2016;BASE_W-06-16;W;16;;;;2016-01-11/BASE_W-06-16
68;68;68.0;70,9;71,34;70,9;71,85;28536.0;41.0;2033718,96;10.0;71,85;70,7;9428712.0;13547.0;581856.0;836.0;BASE;11.01.2016;BASE_M-02-16;M;16;;;2.0;2016-01-11/BASE_M-02-16
69;69;69.0;71,25;71,25;71,25;71,25;3715.0;5.0;264693,75;1.0;71,25;70,95;9580242.0;12894.0;78015.0;105.0;BASE;11.01.2016;BASE_M-03-16;M;16;;;3.0;2016-01-11/BASE_M-03-16
70;70;70.0;;70,38;;;;;;;70,25;70,5;122400.0;170.0;126000.0;175.0;BASE;11.01.2016;BASE_M-04-16;M;16;;;4.0;2016-01-11/BASE_M-04-16
71;71;71.0;;69,5;;;;;;;69;70;9150960.0;4190.0;875784.0;401.0;BASE;11.01.2016;BASE_Q-2-16;Q;16;;2.0;;2016-01-11/BASE_Q-2-16
72;72;72.0;;69;;;;;;;68,5;69,5;8880576.0;4022.0;461472.0;209.0;BASE;11.01.2016;BASE_Q-3-16;Q;16;;3.0;;2016-01-11/BASE_Q-3-16
73;73;73.0;74,6;74,6;74,6;74,6;22090.0;10.0;1647914;2.0;74,6;74,6;9386041.0;4249.0;1133217.0;513.0;BASE;11.01.2016;BASE_Q-4-16;Q;16;;4.0;;2016-01-11/BASE_Q-4-16
74;74;74.0;;76,5;;;;;;;76;77;6477.0;3.0;8636.0;4.0;BASE;11.01.2016;BASE_Q-1-17;Q;17;;1.0;;2016-01-11/BASE_Q-1-17
75;75;75.0;;69,23;;;;;;;68,7;69,75;808128.0;184.0;1708488.0;389.0;BASE;11.01.2016;BASE_S-S-16;S;16;S;;;2016-01-11/BASE_S-S-16
76;76;76.0;;75,45;;;;;;;75,3;75,6;1231776.0;282.0;1869504.0;428.0;BASE;11.01.2016;BASE_S-W-16;S;16;W;;;2016-01-11/BASE_S-W-16
77;77;77.0;;;;;;;;;;;;;;;BASE;11.01.2016;BASE_S-S-17;S;17;S;;;2016-01-11/BASE_S-S-17
78;78;78.0;74,3;74,3;74,3;74,3;43800.0;5.0;3254340;1.0;74,3;74,3;8567280.0;978.0;9443280.0;1078.0;BASE;11.01.2016;BASE_Y-17;Y;17;;;;2016-01-11/BASE_Y-17
79;79;79.0;;;;;;;;;71;77;;;;;BASE;11.01.2016;BASE_Y-18;Y;18;;;;2016-01-11/BASE_Y-18
80;80;80.0;;74,25;;;;;;;74;74,5;25200.0;150.0;25200.0;150.0;BASE;12.01.2016;BASE_W-03-16;W;16;;;;2016-01-12/BASE_W-03-16
81;81;81.0;;;;;;;;;72,2;75;;;;;BASE;12.01.2016;BASE_W-04-16;W;16;;;;2016-01-12/BASE_W-04-16
